0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000000000000000000	01000000000000000	001100100000000	0000000000000
0000000000001000	000010000010010001000000	000000000000000000	000010000000000000000	000000000000000000000	0000000000000000000	00100000000000000	000000000000000	0000000000100
0000000000001000	000010000010010001000000	000000000000000000	000010000000000000000	000000000000000000000	0000000000010000000	00100000000000000	000000000000000	0000000000100
0000000000000000	000000000000100100000000	000000000000000000	000000000100000000000	000000000000000000000	0000100001000000000	00000000000100000	000000000000000	0000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000000000000000010	1000000000000000000	00000000000000000	000000000000000	0000000100000
0000000000000000	000000000100000000000000	000000100000000000	001000000000000000000	000100000100000000000	0000000000100010000	00000000000000100	000000000000000	0000000000000
0100000000001000	000000100010000000000000	000000000000100000	000010000000000000000	000000000000000000000	0001000000000000000	00000000000000000	000000000000000	0000000000100
0000000000001000	000010000010010000000000	000000001000000000	000010000000000000000	000000000000000000000	0000000000000000000	00100000000000000	000000000000000	0000000000100
0000000000000100	000000011000000000000000	000000000000000010	000001000000000000000	000000000010000000000	0000000000000000000	00000000000000000	001000100000000	0000000000000
0000000000001000	000010000010010001000001	000000000000000000	000010000000000000000	000000000000000000000	0000000000000000000	00100000000000000	000000000000000	0000000000100
0000000000000000	000000000000000000000000	000000000000000000	000000000000010000000	000000000010000000000	0000000000000000000	01000000000000000	001100100000000	0000000000000
0001000000100000	000100000000000000000100	000000000000000000	000100000000000000000	000000000000000000000	0000000100000000000	00000000000000000	000000000000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	001000000000000010000	0000000000000000000	00010000000000001	000000000000000	0000000001000
0000000000001000	000010000010010001000000	000000000000000000	000010000000000000000	000000000000000000000	0000000000000000000	00100000000000000	000000000000000	0000000000100
0000000000000000	000000000000100100000000	000000000000000000	000000000100000000000	000000000000000000000	0000100001000000000	00000000000100000	000000000000000	0000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000000000000000010	1000000000000000000	00000000000000000	000000000000000	0000000100000
0000000001000000	100000000000100000000010	000000000000000000	000000000100000000000	000010000000000000000	0010100000000000000	00000000000100000	000000000000000	0000000000000
0000000000001000	000010000010010000000000	000000001000000000	000010000000000000000	000000000000000000000	0000000000000000000	00100000000000000	000000000000000	0000000000100
0100000000001000	000000100010000000000000	000000000100100000	000010000000000000000	000000000000000000000	0001000000000000000	00000000000000000	000000000000000	0000000000100
0000010000000000	000000000000000000000000	010000000000000000	000000000000000000100	000000000000000000000	0000010010000001000	00000000000000000	000000000000000	0000000000000
0000000100000000	000000000000000000010000	100000000000000001	000000001000000000000	010000000000010000000	0000000000000000000	00000100000010000	000000000000000	0000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000000000000000010	1000000000000000000	00000000000000000	000000000000000	0000000100000
0000000000000010	000000000000000000000000	000000000000001000	000000000000100000000	000000000000000000000	0000000000000000000	00000000000000000	000000000000000	0001010000000
0000000000000001	000000000000000000000000	000000000000000000	101000000000000000000	000001000000000000000	0100000000101000000	00000000000000000	000000000000000	1000000000000
0000000000000000	000000000000100100000000	000000000000000000	000000000100000000000	000000000000000000000	0000100001000000000	00000000000100000	000000000000000	0000000000000
0000000000000010	000000000000000000000000	000000000000001000	000000000000100000000	000000000000000000000	0000000000000000000	00000000000000000	000000000000000	0001010000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000000000000000	0000000000000000000	00000000000001000	000000000010100	0010000000000
0000010000000000	000000000000000000000000	010000000000000000	000000000000000000100	000000000000000000000	0000010010000000000	00000000000000000	000000000000000	0000000000000
0000000000000001	000000000000000000000000	000000000000000000	101000000000000000000	000001000000000000000	0100000000101000000	00000000000000000	000000000000000	1000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000000000000000	0000000000000000000	00000000000001000	000000000010100	0010000000000
0000000100000000	000000000000000000010000	100000000000000000	000000001000000000000	010000000000000000000	0000000000000000000	00000000000010000	000000000000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000010000000	000000000010000000000	0000000000000000000	01000000000000000	001100100000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000000000000000000	01000000000000000	001100100000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000001000000000000	01000000000000000	101100100000000	0000000000000
0000000000000000	000000000000100000000000	000000000000000000	000000000100000000000	000000000000000000000	0000100000000000000	00000000000100000	000000000000000	0000000000000
0000000000000001	010000000000000000000000	000000000000000000	101000000000000000000	000001000000000000000	0100000000101000000	00000000000000000	000000000000000	1000000000000
0000010000000000	000000000000000000000000	010000000000000000	000000000000000000100	000000000000000000000	0000010010000001000	00000000000000000	000000000000000	0000000000000
0000000000000000	000000000000100000000000	001000000000000000	000000000100000000000	000000000000000000000	0000100000000000000	00000000000100000	000000000000000	0000000000000
0000000000001000	000000100010000000000000	000000000000100000	000010000000000000000	000000000000000000000	0000000000000000001	00000000000000000	000000000000000	0000000000100
0000000000001000	000000000010000000000000	000000000000000000	000010000000000000000	000000000000000000000	0000000000000000000	10000001000000000	000000000000000	0000000000100
0000000000000000	000000000000100000000000	000000000000000000	000000000100000000000	000000000000000000000	0000100000000000000	00000000000100000	000000000000000	0000000000000
0000000000001000	000010000010010000000000	000000000000000000	000010000000000000000	000000000000000000000	0000000000000000000	00100000000000000	000000000000000	0000000000100
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000000000000000	0000000000000000000	00000000000001000	000000000000000	0010000000000
0000000000000001	000000000000000000000000	000000000000000000	101000000000000000000	000001000000000000000	0100000000101000000	00000000000000000	000000000000000	1000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000000000000000010	1000000000000000000	00000000000000000	000000000000000	0000000100000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000000000000000000	1000000000000100000	00000000000000000	000000000000000	0000000100000
0000000000000000	000000000000000000000000	000000000010000000	000000000000000000000	000000000010000000000	0000000000000000000	01001010000000000	001100100000000	0000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000001	000000000000000000000	0000000000000000000	00000000011000000	000000000000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000000000000000	0000000000000000000	00000000000001000	000000000000000	0010000000000
1000000000000000	000000000000000000000000	000000000000000000	000000000000000010000	000000000010000000000	0000000000000000000	01000000100000000	001100100000000	0000000000000
0000110000000000	000000000000000000000000	010100000000000000	000000000000000000100	000000000000000000000	0000010010000000000	00000000000000000	000000000000000	0000000000000
0000000000000000	000000000000100000000000	000000000000000000	000000000100000000000	000000000000000000000	0000100000000000000	00000000000100000	000000000000000	0000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000000000000000000	1000000000000100000	00000000000000000	000000000000000	0000000100000
0000000000000000	000001000000000000000000	000000000000000000	000000000000000000000	000000000000000000000	0000000000000000000	00000000000001000	000000000000000	0010000000000
0000000000000010	000000000000000000000000	000000000000001000	000000000000100000000	000000000000000000000	0000000000000000000	00000000000000000	000000000000000	0001010000000
0001000000100000	000100000000000000000100	000000000000000000	000100000000000000000	000000000000000000000	0000000000000000000	00000000000000000	010000000000000	0000000000000
0001000000100000	000100000000000000000100	000000000000000000	000100000000000000000	000000000000000000000	0000000100000000000	00000000000000000	000000000000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	010000000000000000010	000000100000000000001	0000000000000000000	00000000000000000	000000000000000	0000000000001
0000000000000000	000000000000100000000000	000000000000000000	000000000100000000000	000000000000000000000	0000100000000000000	00000000000100000	000000000000000	0000000000000
0000000000001000	000010000010010001000000	000000000000000000	000010000000000000000	000000000000000000000	0000000000010000000	00100000000000000	000000000000000	0000000000100
0000000000000000	000000000000000000000000	000001000000000000	000000000000000000000	001000000000000010000	0000000000000000000	00000000000000001	000000000000000	0000000001000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000000000000000100	01000000000000000	001100100000000	0000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000001	000000000000000100000	0000000000000000000	00000000011000000	000000000000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	010000000000000000010	000000100000000000001	0000000000000000000	00000000000000000	000000000000000	0000000000001
0000000000001000	000010000010010000000000	000000001000000000	000010000000000000000	000000000000000000000	0000000000000000000	00100000000000000	000000000000000	0000000000100
0000000000000000	000000000000100000000000	001000000000000000	000000000100000000000	000000000000000000000	0000100000000000000	00000000000100000	000000000000000	0100000000000
0000000000000000	000000000000000000000000	000000000000000100	000000000000000000000	100000000000000000000	0000000000000000000	00000000000000010	000000000000000	0000000000000
0000000000000000	000000000100000000000000	000000000000000000	001000000000000000000	000000000100000000000	0000000000100010000	00000000000000100	000000000000000	0000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000000000000000010	1000000000000000000	00000000000000000	000000000000000	0000000100000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000000000000000000	1000000000000100000	00000000000000000	000000000000000	0000000100000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000000000000000000	01000000000000000	101100100000000	0000000000000
0000000000001000	000000100010000000000000	000000000000110000	000010000000000000000	000000000000000000000	0000000000000000000	00000000000000000	000000000000000	0000000000100
0000000000000000	000000000000000000000000	000000000000000100	000000000000000000000	100000000000000000000	0000000000000000000	00000000000000010	000000000000000	0000000000000
0100000000001000	000000100010000000000000	000000000000100000	000010000000000000000	000000000000000000000	0001000000000000000	00000000000000000	000000000000000	0000000000100
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000000000000000000	01000000000000000	101100100000000	0000000000010
0000000000000100	000000011000000000000000	000000000000000010	000000000000001000000	000000000010000000000	0000000000000000000	00000000000000000	001000100000010	0000000000000
0000010000000000	000000000000000000100000	010000000000000000	000000000000000000100	000000000000000000000	0000010010000000000	00000000000000000	000000000000000	0000000000000
0001000000100000	000100000000000000000100	000000000000000000	000100000000000000000	000000000000000000000	0000000000000000000	00000000000000000	000000000000000	0000001000000
0000000000000001	010000000000000000000000	000000000000000000	101000000000000001000	000001000000000000000	0100000000101000000	00000000000000000	000000000000000	1000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	001000000000000010000	0000000000000000000	00010000000000001	000000000000000	0000000001000
0000000000000001	010000000000000000000000	000000000000000000	101000100000000000000	000001000000000000000	0100000000101000000	00000000000000000	000000000000000	1000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000000000000000100	01000000000000000	001100100000000	0000000000000
0000000000000001	010000000000000000000000	000000000000000000	101000100000000000000	000001000000000000000	0100000000101000000	00000000000000000	000000000000000	1000000000000
0000000000000001	010000000000000000000000	000000000000000000	101000000000000000000	000001000000000000000	0100000000101000000	00000000000000000	000000000000000	1000000000000
0000000000001000	000000100010000000000000	000000000000110000	000010000000000000000	000000000000000000000	0000000000000000000	00000000000000000	000000000000000	0000000000100
0000000000000000	000000000001000000000000	000000000000000000	000000000000000000000	000000000010000000100	0000000000000000000	01000000000000000	001100100000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000100	000000000000000000000	100000000000000000000	0000000000000000000	00000000000000010	000000000000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000000000000000	0000000000000000000	00000000000001000	000000000010000	0010000000000
0000000000000000	000000000000000000000000	000000000000000000	010000000000000000010	000000100000000000001	0000000000000000000	00000000000000000	000000000000000	0000000000001
0000000000000000	000000000000100000000000	001000000000000000	000000000100000000000	000000000000000000000	0000100000000000000	00000000000100000	000000000000000	0000000000000
0000000000000000	001000000000000000000000	000000000000000000	000000000000000000000	000000000010100000000	0000000000000000000	01000000000000000	101100100000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000000000000000000	01000000000000000	001100100000000	0000000000000
0000000000000000	000000000100000000000000	000000000000000000	001000000000000000000	000000000100000000000	0000000000100010000	00000000000000100	000000000000000	0000000000000
0000001000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000000001000000	0000000000000000000	00000000000000000	001000110000000	0000100000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000001	000000000000000100000	0000000000000000000	00000000011000000	000000000000000	0000000000000
0000000000001000	000000000010000000000000	000000000000000000	000010000010000100000	000000000000000000000	0000000000000000010	00000000000000000	000000000001000	0000000000100
0100000000001000	000000100010000000000000	000000000000100000	000010000000000000000	000000000000000000000	0001000000000000000	00000000000000000	000000000000000	0000000000100
0000000000001000	000000000010000000000000	000000000000000000	000010000000000000000	000000000000000000000	0000000000000000000	10000001000000000	000000000000000	0000000000100
0000000000001000	000000000010000000000000	000000000000000000	000010000000000000000	000000000000000000000	0000000000000000000	10000001000000000	000000000000000	0000000000100
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000000000000000	0000000000000000000	00000000000001000	000000000000000	0010000000000
0000010000000000	000000000000000000100000	010000000000000000	000000000000000000100	000000000000000000000	0000010010000000000	00000000000000000	000000000000000	0000000000000
0000000000000000	000000000000000000000000	000010000000000000	000000000000000000000	000000000010000000000	0000000000000000100	01000000000000000	001100100000000	0000000000000
0000000000001000	000010000010010000000000	000000001000000000	000010000000000000000	000000000000000000000	0000000000000000000	00100000000000000	000000000000000	0000000000100
0100000000001000	000000100010000000000000	000000000000100000	000010000000000000000	000000000000000000000	0001000000000000000	00000000000000000	000000000000000	0000000000100
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	000000000010000000000	0000000000000000000	01000000000000000	101100100000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	010000000000000000010	000000100000000001001	0000000000000000000	00000000000000000	000000000000000	0000000000001
0000000000000000	000000000000000000000000	000000000000000100	000000000000000000000	100000000000000000000	0000000000000000000	00000000000000010	000000000000000	0000000000000
0000000000000000	000000000000000000000000	000000000000000000	000000000000000000000	001000000000000010000	0000000000000000000	00010000000000001	000001000000000	0000000001000
0000000010001000	000000100010000000001000	000000000000110000	000010000000000000000	000000000000000000000	0000000000000000000	00000000000000000	000000000100000	0000000000100
0000000000000000	000000000000100000000000	000000010000000000	000000000100000000000	000000000000000000000	0000100000000000000	00000000000100000	000000001000000	0000000000000
0000000000000000	000000000000000010000000	000000000000000000	000000000000000000000	000000010001000000000	0000000000000000000	00000000000000000	000000000000000	0000000110000
0000000100000000	000000000000000000010000	100000000000000001	000000001000000000000	010000000000010000000	0000000000000000000	00000100000010000	000000000000000	0000000000000
0001000000100000	000100000000000000000100	000000000000000000	000100000000000000000	000000000000000000000	0000000000000000000	00000000000000000	000000000000000	0000001000000
